Arquivo,Tamanho (KB),Data Modificação
TG133_303001_66646_00794_133_20260325161415_91.13.BIN,5.44,25/03/2026 16:16
TG133_303001_66646_00795_133_20260325161612_91.13.BIN,1.29,25/03/2026 16:16
TG133_303001_66646_00796_133_20260325161857_91.13.BIN,2.39,25/03/2026 16:18
TG133_303001_66646_00797_133_20260325162540_91.13.BIN,6.66,25/03/2026 16:25
TG133_303001_66646_00798_133_20260325162708_91.13.BIN,2.25,25/03/2026 16:31
TG133_303001_66646_00799_133_20260325162937_91.13.BIN,1.06,25/03/2026 16:31
TG133_303001_66646_00800_133_20260325163304_91.13.BIN,3.53,25/03/2026 16:33
TG133_303001_66646_00801_133_20260325163627_91.13.BIN,3.06,25/03/2026 16:36
TG133_303001_66646_00802_133_20260325184940_91.13.BIN,7.45,25/03/2026 18:51
TG133_303001_66646_00803_133_20260325185040_91.13.BIN,1.23,25/03/2026 18:51
TG133_303001_66646_00804_133_20260325185249_91.13.BIN,2.82,25/03/2026 18:52
TG133_303001_66646_00805_133_20260325185434_91.13.BIN,2.44,25/03/2026 18:54
TG133_303001_66646_00806_133_20260325185641_91.13.BIN,2.64,25/03/2026 18:56
TG133_303001_66646_00807_133_20260325185842_91.13.BIN,2.86,25/03/2026 18:58
TG133_303001_66646_00808_133_20260325190241_91.13.BIN,4.27,25/03/2026 19:02
TG133_303001_66646_00809_133_20260325190505_91.13.BIN,3.27,25/03/2026 19:05
TG133_303001_66646_00810_133_20260325190715_91.13.BIN,2.89,25/03/2026 19:11
TG133_303001_66646_00811_133_20260325190839_91.13.BIN,2.65,25/03/2026 19:11
TG133_303001_66646_00812_133_20260325191004_91.13.BIN,1.87,25/03/2026 19:11
TG133_303002_66372_02582_133_20260325115827_91.13.BIN,194.29,25/03/2026 15:47
TG133_303002_66372_02583_133_20260325154649_91.13.BIN,79.58,25/03/2026 15:48
TG133_303002_66372_02584_133_20260325154758_91.13.BIN,1.93,25/03/2026 15:48
TG133_303002_66372_02585_133_20260325230026_91.13.BIN,166.58,25/03/2026 23:00
